name,owner,unit,address,city,zip,county,cad_name,lat,lon,funding,phone_num,aka,eng_type_1,eng_type_2,eng_type_3,wtender_ty,wtender__1,other_reso,staffing,type,doz_type_2,remark,class,marker-symbol,marker-size,marker-color
Shandon FS,COUNTY,SLU,501 W. Center St,Shandon,93461,San Luis Obispo,SLU Shandon Stn,35.6562615397,-120.381226808,A,805-238-4957,#31,1,0,0,0,0,0,P,FS,0,,SCHED_A,fire-station,medium,0000FF
Paso Robles FS,COUNTY,SLU,2510 Ramada Dr,Paso Robles,93446,San Luis Obispo,SLU Paso Robles Stn,35.5813805835,-120.695481908,A,805-227-6553,#30,1,0,0,0,0,"Sm Rescue, Hazmat",P,FS,0,,SCHED_A,fire-station,medium,0000FF
Cambria FS,COUNTY,SLU,6126 Coventry Ln,Cambria,93428,San Luis Obispo,SLU Cambria STN,35.5728682666,-121.104355134,A,805-927-4262,#10,1,0,0,0,0,ICS Type 2 Rescue,P,FS,0,,SCHED_A,fire-station,medium,0000FF
SLU Headquarters,COUNTY,SLU,635 N. Santa Rosa St,San Luis Obispo,93405,San Luis Obispo,SLU Admin,35.3017203683,-120.678458424,A,805-543-4244,#12,1,0,0,0,0,0,V,FS,0,null,SCHED_A,fire-station,small,0000FF
Nipomo FS,COUNTY,SLU,450 Pioneer Av,Nipomo,93444,San Luis Obispo,SLU Nipomo Stn,35.0406924064,-120.486887429,A,805-929-3911,#20,0,2,0,0,0,Sm Rescue,P,FS,0,,SCHED_A,fire-station,medium,0000FF
Las Tablas FS,STATE,SLU,275 Cypress Mt. Drive,Paso Robles,93446,San Luis Obispo,SLU Las Tablas FS,35.6568825152,-120.923289991,B,805-238-4592,#35,0,0,1,0,0,,,FS,0,,FS,fire-station,medium,FF0000
Cayucos FS,STATE,SLU,Hwy. 1 @ Chaney,Cayucos,93430,San Luis Obispo,SLU Cayucos FS,35.4211768132,-120.876293085,B,805-995-1133,#11,0,0,1,0,0,,,FS,0,,FS,fire-station,medium,FF0000
La Panza FS,STATE,SLU,"5398 Pozo Rd, Star Rt, Box 75A",Santa Margarita,93453,San Luis Obispo,SLU La Panza FS,35.3802319237,-120.188283954,B,805-438-5460,#41,0,0,1,0,0,,,FS,0,,FS,fire-station,medium,FF0000
Paso Robles AAB,STATE,SLU,3403 Taxiway A,Paso Robles,93446,San Luis Obispo,SLU Paso Robles AAB,35.6776562641,-120.633074293,B,805-238-1878,,0,0,0,0,0,,,AAB,0,,AIR,airport,medium,000000
Cuesta CC,STATE,SLU,"Rt. 2, Box 427, Bld 962",San Luis Obispo,93401,San Luis Obispo,SLU Cuesta CC,35.329401,-120.733174,B,805-543-9570,,0,0,0,0,0,,,CC,0,,CAMPS,logging,medium,FFA500
San Luis Obispo ICC,STATE,SLU,635 North Santa Rosa,San Luis Obispo,93405,San Luis Obispo,SLU San Luis Obispo ICC,35.3019084882,-120.678667348,B,805-543-4244,null,0,0,0,0,0,null,null,ICC,0,null,OTHER,emergency-telephone,small,
San Luis Obispo UH,STATE,SLU,635 North Santa Rosa,San Luis Obispo,93405,San Luis Obispo,SLU San Luis Obispo UH,35.301851314,-120.676794769,B,805-543-4244,null,0,0,0,0,0,null,null,UH,0,null,OTHER,town-hall,large,008000
Mount Lowe COM,STATE,SLU,,,,San Luis Obispo,SLU Mount Lowe COM,35.3196467976,-120.601281832,B,805-543-4244,,0,0,0,0,0,,,COM,0,,OTHER,oil-well,medium,000000
Red Hill COM,STATE,SLU,,,,San Luis Obispo,SLU Red Hill COM,35.6075166267,-120.25632911,B,805-543-4244,,0,0,0,0,0,,,COM,0,,OTHER,oil-well,medium,000000
North County Auto Shop,STATE,SLU,4735 Airport Road,Paso Robles,93446,San Luis Obispo,SLU North County Shop,35.6700189365,-120.642456274,B,805-239-1579,,0,0,0,0,0,,,EQF,1,,OTHER,bus,small,000000
South County Auto Shop,STATE,SLU,635 North Santa Rosa,635 North Santa Rosa,93405,San Luis Obispo,SLU South County Shop,35.3021445023,-120.678181326,B,805-543-4244,,0,0,0,0,0,,,EQF,0,,OTHER,bus,small,000000
South Bay Training Center,COUNTY,SLU,880 Manzanita Drive,Los Osos,93402,San Luis Obispo,SLU SBTC,35.3099731249,-120.83575646,A,805-528-2160,,0,0,0,0,0,,,EQF,0,,OTHER,building,small,000000
